C0014550	myoclonic epilepsy
C3661551	Partial epileptic seizure of temporal lobe with impairment of consciousness
C3661551	Partial seizures of the temporal lobe with impairment of conciousness
C3661860	rasmussen syndrome, intractable
C3661860	rasmussen syndrome, refractory
C3661861	acquired aphasia with epilepsy, refractory
C3661861	acquired epileptic aphasia, intractable
C3661861	acquired epileptic aphasia, refractory
C3661861	Landau-Kleffner syndrome, refractory
C3661862	acquired aphasia with epilepsy, non-refractory
C3661862	acquired epileptic aphasia, non-intractable
C3661862	acquired epileptic aphasia, non-refractory
C3661862	Landau-Kleffner syndrome, non-refractory
C3662031	intractable absence seizures
C3662042	seizure disorder as sequela of stroke
C3662441	rolandic seizures with status epilepticus
C3662441	status epilepticus in benign rolandic epilepsy
C3697594	post-cerebrovascular accident epilepsy
C3697670	spinal cord myoclonus
C3697670	spinal myoclonus
C3698072	brainstem myoclonus
C3698239	cerebral cortex myoclonus
C3698239	cortical myoclonus
C3826393	epilepsy in mother complicating pregnancy
C3826393	epilepsy in pregnancy
C3840267	epilepsy in childbirth
C3840267	epilepsy in mother complicating childbirth
C4023513	Absence seizure with eyelid myoclonia
C4023513	Absence seizures with eyelid myoclonia
C4039464	Complex partial seizure of frontal lobe 
C4039814	Complex partial seizures of parietal lobe
C4039814	Partial epileptic seizures of parietal lobe with impairment of consciousness
C4075972	epileptic dementia with behavioral disturbance
C4075972	epileptic dementia with behavioural disturbance
C4273988	autosomal dominant cortical myoclonus and epilepsy
C4273988	bafme - benign adult familial myoclonic epilepsy
C4273988	benign adult familial myoclonic epilepsy
C4273988	benign adult familial myoclonus epilepsy
C4273990	x-linked epilepsy with learning disability and behavior disorder syndrome
C4273990	x-linked epilepsy with learning disability and behaviour disorder syndrome
C4274335	female restricted epilepsy with intellectual disability syndrome
C4274731	epilepsy with eyelid myoclonia
C4274731	generalised epilepsy with eyelid myoclonia
C4274731	jeavons syndrome
C4274731	jeavons' syndrome
C4275141	adolescent benign focal crisis
C4275141	benign focal seizure of adolescence
C4281785	CAE
C4281785	childhood absence epilepsy
C4281785	Petit-mal epilepsy
C4281785	Pyknolepsy
C4302597	celiac disease with epilepsy and cerebral calcification syndrome
C4302597	coeliac disease with epilepsy and cerebral calcification syndrome
C4302729	aphasia co-occurrent with epilepsy
C4302824	al gazali nair syndrome
C4302824	osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome
C4303593	dend (developmental delay, epilepsy, neonatal diabetes) syndrome
C4303593	dend syndrome
C4303593	developmental delay, epilepsy, neonatal diabetes syndrome
C4304727	sudden unexpected death in epilepsy
C4304727	SUDEP
C4317123	myoclonic epileptic seizures
C4317123	myoclonic seizure
C4317123	myoclonic seizure disorder
C4317123	myoclonic seizures
C4317123	myoclonic seizures
C4317339	JAE
C4317339	juvenile absence epilepsy
C4509817	microcephaly, seizure, intellectual disability, heart disease syndrome
C4510007	severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome
C4510564	infant epilepsy with migrant focal crisis
C4510729	epilepsy due to immune disorder
C4510970	epilepsy due to infectious disease of central nervous system
C4511049	epilepsy co-occurrent and due to degenerative brain disorder
C4511049	epilepsy with degenerative brain disorder
C4511050	epilepsy co-occurrent and due to demyelinating disorder
C4511050	epilepsy with demyelinating disorder
C4511434	focal myoclonus
C4511434	focal myoclonus (finding)
C4511576	epilepsy due to intracranial neoplasm
C4511576	epilepsy due to intracranial tumor
C4511576	epilepsy due to intracranial tumour
C4511577	epilepsy due to perinatal anoxic-ischaemic brain injury
C4511577	epilepsy due to perinatal anoxic-ischemic brain injury
C4511577	epilepsy due to perinatal hypoxic ischaemic encephalopathy
C4511577	epilepsy due to perinatal hypoxic ischemic encephalopathy
C4511904	epilepsy co-occurrent and due to mesial temporal sclerosis
C4511904	epilepsy with mesial temporal sclerosis
C4518080	autism spectrum disorder, epilepsy, arthrogryposis syndrome
C4518080	slc35a3-cdg - solute carrier family 35 member a3 congenital disorder of glycosylation
C4518323	epilepsy due to cerebrovascular accident
C4518323	epilepsy due to stroke
C4518554	epilepsy telangiectasia syndrome
C4518566	myoclonus, cerebellar ataxia, deafness syndrome
C4518639	epilepsy of infancy with migrating focal seizures
C4732752	Focal emotional seizure
C0270844	Generalised tonic seizure
C0270844	Generalised tonic seizures
C4023516	Symptomatic seizure
C4023516	Symptomatic seizures
C0014547	focal onset epilepsy
C0472349	Focal symptomatic epilepsy
C0085541	frontal lobe onset seizure
C4023512	myoclonic absence
C4023512	myoclonic absences
C0393703	myoclonic absence epilepsy
C0234533	generalised seizures
C0014547	sub-cortical epilepsy
C0270850	idiopathic, generalised epilepsy
C4316903	absence seizure
C4316903	typical absence seizure
C4316903	typical absence seizures 
C4316903	typical absences
C4316903	absence type seizure
C4316903	absence type seizures
C4316903	absence seizures
C0014544	seizure disorder
C0270850	gge
C0270850	genetic generalised epilepsy
C0270850	genetic generalized epilepsy
C0877017	focal onset generalised tonic-clonic seizures
C0877017	focal onset tonic-clonic seizures
C0751495	frontal lobe onset seizures
C0751495	frontal lobe onset seizure
C3697594	post cerebrovascular accident epilepsy	
C2237348	partial adversive seizure
C4749367	mesial temporal lobe epilepsy with hippocampal sclerosis
C2080645	photosensitive seizure
 
