myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
frontal lobe epilepsy	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Frontal lobe epilepsy (disorder)	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	
frontal lobe seizure	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	
frontal lobe seizures	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	
epilepsia partialis continua (disorder)	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsia partialis continua [kozhevnikof]	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, kojevnikov's	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, kojevnikov's	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, kojewnikov's	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal status epilepticus	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kojevnikov's epilepsies	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kojevnikov's epilepsy (disorder)	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kojewnikov epilepsy	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kojewnikow syndrome	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kojewnikow's syndrome	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kozhevnikov syndrome	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kozhevnikov's syndrome	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
motor simple partial status	CUI=C0085543	PREF=Epilepsia Partialis Continua	TUI=T047	STY=Disease or Syndrome	
atonic epilepsies	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
atonic epilepsy	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, atonic	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, atonic	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic seizures - atonic	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures - atonic (finding)	CUI=C0086236	PREF=Epilepsy, Atonic	TUI=T047	STY=Disease or Syndrome	
epilepsies, tonic	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, tonic	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic seizures - tonic	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures - tonic (finding)	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures, tonic	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	
tonic epilepsies	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
tonic epilepsy	CUI=C0086241	PREF=Epilepsy, Tonic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Complex Partial	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
Complex Partial Seizure	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
Complex Partial Seizures	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
Partial complex seizure	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
Partial complex seizure (disorder)	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
Psychomotor fit	CUI=C0149958	PREF=Complex Partial Seizure	TUI=T047	STY=Disease or Syndrome	
convulsions in newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
convulsions in the newborn 	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
convulsions neonatal	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
convulsions of newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
fits in newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
fits in the newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
neonatal convulsions	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
neonatal seizures	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
seizures in newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
seizures in the newborn	CUI=C0159020	PREF=Convulsions in the newborn	TUI=T047	STY=Disease or Syndrome	
angelman syndrome	CUI=C0162635	PREF=Angelman Syndrome	TUI=T047	STY=Disease or Syndrome	
Happy puppet syndrome	CUI=C0162635	PREF=Angelman Syndrome	TUI=T047	STY=Disease or Syndrome	
fukuhara disease	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	
merff syndrome	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
merrf - myoclonic epilepsy - ragged red fibers	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsy - ragged red fibres	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsy and ragged red fibers	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsy associated with ragged red fibers	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsy with ragged red fibers	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonus with epilepsy and with ragged red fibers (merrf syndrome)	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonus with epilepsy with ragged red fibers	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoencephalopathy ragged red fiber disease	CUI=C0162672	PREF=MERRF Syndrome	TUI=T047	STY=Disease or Syndrome	
hyperekplexia	CUI=C0234166	PREF=hyperekplexia	TUI=T184	STY=sign or symptom	
hyperekplexias	CUI=C0234166	PREF=hyperekplexias	TUI=T184	STY=sign or symptom	
hyperexplexia	CUI=C0234166	PREF=hyperexplexia	TUI=T184	STY=sign or symptom	
hyperexplexia (finding)	CUI=C0234166	PREF=hyperexplexia (finding)	TUI=T184	STY=sign or symptom	
startle syndrome	CUI=C0234166	PREF=startle syndrome	TUI=T184	STY=sign or symptom	
generalised convulsion	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalised fit	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalised seizure	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalized convulsion	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalized convulsion, nos	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalized fit	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
generalized seizure (finding)	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
Generalized-onset seizure	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
seizure, generalized	CUI=C0234533	PREF=Generalized seizures	TUI=T047	STY=Disease or Syndrome	
epilepsy, partial, without impairment of consciousness	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial epilepsy without impairment of consciousness	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial epilepsy without mention of impairment of consciousness	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial seizures, simple	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
partial seizures, simple, consciousness preserved	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
simple partial seizure	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
simple partial seizure, consciousness not impaired	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
simple partial seizures	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
simple partial seizures with consciousness preserved	CUI=C0234974	PREF=Simple Partial Seizures	TUI=T047	STY=Disease or Syndrome	
lennox gastaut syndrome	CUI=C0238111	PREF=Lennox-Gastaut syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
lennox gastaut syndromes	CUI=C0238111	PREF=Lennox-Gastaut syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
lennox-gastat syndrome	CUI=C0238111	PREF=Lennox-Gastaut syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Lennox-Gastaut syndrome	CUI=C0238111	PREF=Lennox-Gastaut syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Lennox-Gastaut syndrome (disorder)	CUI=C0238111	PREF=Lennox-Gastaut syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
dysphonia of palatopharyngolaryngeal myoclonus	CUI=C0264608	PREF=Dysphonia of palatopharyngolaryngeal myoclonus	TUI=T047	STY=Disease or Syndrome	
dysphonia of palatopharyngolaryngeal myoclonus (disorder)	CUI=C0264608	PREF=Dysphonia of palatopharyngolaryngeal myoclonus	TUI=T047	STY=Disease or Syndrome	
ring chromosome 20	CUI=C0265482	PREF=ring chromosome 20	TUI=T019	STY=Congenital Abnormality	Epilepsy=Yes
cherry red spot myoclonus syndrome	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
cherry red spot-myoclonus syndrome	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
cherry-red spot myoclonus synd	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
deficiencies, glycoprotein neuraminidase	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
deficiency, glycoprotein neuraminidase	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
glycoprotein neuraminidase deficiency	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
mucolipidosis type 1	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
myoclonus cherry red spot syndrome	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
myoclonus-cherry red spot syndrome	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
neuraminidase deficiency	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
normosomatic sialidosis	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
sialidase deficiency	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
sialidosis	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
sialidosis, type 1	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
type I mucolipidoses	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
type i mucolipidosis	CUI=C0268226	PREF=Type I Mucolipidosis	TUI=T047	STY=Disease or Syndrome	
essential myoclonus	CUI=C0270737	PREF=essential myoclonus	TUI=T047	STY=Disease or Syndrome	
familial essential myoclonus	CUI=C0270737	PREF=Familial essential myoclonus	TUI=T047	STY=Disease or Syndrome	
familial essential myoclonus (disorder)	CUI=C0270737	PREF=Familial essential myoclonus	TUI=T047	STY=Disease or Syndrome	
cursive (running) epilepsy	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cursive reflex epilepsy - running	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cursive seizure	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	
cursive seizure (disorder)	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	
epilepsies, cursive	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, cursive reflex (running)	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, running	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
reflex epilepsy, cursive (running)	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
running epilepsy	CUI=C0270819	PREF=Reflex Epilepsy, Cursive (Running)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, gelastic	CUI=C0270820	PREF=Epilepsy, gelastic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, gelastic	CUI=C0270820	PREF=Epilepsy, gelastic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
gelastic epilepsies	CUI=C0270820	PREF=Epilepsy, gelastic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
gelastic seizure	CUI=C0270820	PREF=Epilepsy, gelastic	TUI=T047	STY=Disease or Syndrome	
gelastic seizure (disorder)	CUI=C0270820	PREF=Epilepsy, gelastic	TUI=T047	STY=Disease or Syndrome	
retropulsion absence	CUI=C0270821	PREF=Retropulsion petit mal	TUI=T047	STY=Disease or Syndrome	
retropulsion petit mal	CUI=C0270821	PREF=Retropulsion petit mal	TUI=T047	STY=Disease or Syndrome	
retropulsion petit mal (disorder)	CUI=C0270821	PREF=Retropulsion petit mal	TUI=T047	STY=Disease or Syndrome	
centrencephalic absence	CUI=C0270822	PREF=Centrencephalic epilepsy	TUI=T047	STY=Disease or Syndrome	
centrencephalic epilepsy	CUI=C0270822	PREF=Centrencephalic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
centrencephalic epilepsy disorder	CUI=C0270822	PREF=Centrencephalic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
absence status	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
epilepsia minoris continua	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic absence status	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
epileptic confusional state	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
non-convulsive status epilepticus wth impaired consciousness	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal status (disorder)	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal status epilepticus	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal status, epileptic	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit-mal status	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
prolonged epileptic twilight state	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
spike wave stupor	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
status pyknolepticus	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
status, absence	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
status, petit mal	CUI=C0270823	PREF=Petit mal status	TUI=T047	STY=Disease or Syndrome	
epilepsy, visual	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure, visual	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	
visual epilepsy	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visual epilepsy (disorder)	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visual seizures	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	
visual seizures 	CUI=C0270824	PREF=Visual seizure	TUI=T047	STY=Disease or Syndrome	
epilepsy, visceral	CUI=C0270825	PREF=Epilepsy, visceral	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visceral epilepsy	CUI=C0270825	PREF=Epilepsy, visceral	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visceral epilepsy (disorder)	CUI=C0270825	PREF=Epilepsy, visceral	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
unclassified epileptic seizures	CUI=C0270826	PREF=unclassified epileptic seizures	TUI=T047	STY=Disease or Syndrome	
unclassified epileptic seizures (disorder)	CUI=C0270826	PREF=unclassified epileptic seizures (disorder)	TUI=T047	STY=Disease or Syndrome	
Simple partial seizures with somatosensory or special sensory dysfunction	CUI=C0270830	PREF=Simple partial seizure with somatosensory or special sensory dysfunction	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
complex focal seizures	CUI=C0270834	PREF=Complex partial seizure with impairment of consciousness	TUI=T047	STY=Disease or Syndrome	
complex partial seizure with impairment of consciousness	CUI=C0270834	PREF=Complex partial seizure with impairment of consciousness	TUI=T047	STY=Disease or Syndrome	
complex partial seizure with impairment of consciousness (disorder)	CUI=C0270834	PREF=Complex partial seizure with impairment of consciousness	TUI=T047	STY=Disease or Syndrome	
complex partial seizure with impairment of consciousness (finding)	CUI=C0270834	PREF=Complex partial seizure with impairment of consciousness	TUI=T047	STY=Disease or Syndrome	
complex partial seizures with consciousness impaired	CUI=C0270834	PREF=Complex partial seizure with impairment of consciousness	TUI=T047	STY=Disease or Syndrome	
automatism absence	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
automatism petit mal	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
complex partial seizure with automatisms	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
complex partial seizure with automatisms (disorder)	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
complex partial seizures with automatisms	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
complex partial seizures with automatisms (finding)	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
epileptic automatism	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
epileptic automatism (disorder)	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
epileptic complex partial seizures with automatisms	CUI=C0270837	PREF=Epileptic automatism	TUI=T047	STY=Disease or Syndrome	
Secondarily generalised seizures	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalisation	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalised seizure	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalised seizures	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalization	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalized seizure	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
secondary generalized seizures	CUI=C0270838	PREF=Secondarily generalized seizures	TUI=T047	STY=Disease or Syndrome	
tonic seizure	CUI=C0270844	PREF=Tonic seizures	TUI=T047	STY=Disease or Syndrome	
tonic seizures	CUI=C0270844	PREF=Tonic seizures	TUI=T047	STY=Disease or Syndrome	
atonic seizure	CUI=C0270846	PREF=Epileptic drop attack	TUI=T047	STY=Disease or Syndrome	
atonic seizures	CUI=C0270846	PREF=Epileptic drop attack	TUI=T047	STY=Disease or Syndrome	
epileptic drop attack	CUI=C0270846	PREF=Epileptic drop attack	TUI=T047	STY=Disease or Syndrome	
benign focal epilepsy of childhood	CUI=C0270847	PREF=Benign Focal Epilepsy, Childhood	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign focal epilepsy of childhood (disorder)	CUI=C0270847	PREF=Benign Focal Epilepsy, Childhood	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
childhood benign focal epilepsy	CUI=C0270847	PREF=Benign Focal Epilepsy, Childhood	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
childhood benign focal epilepsy	CUI=C0270847	PREF=Benign Focal Epilepsy, Childhood	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
extratemporal epilepsy	CUI=C0270849	PREF=extratemporal epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
extratemporal epilepsy (disorder)	CUI=C0270849	PREF=extratemporal epilepsy (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised idiopathic epilepsy and epileptic syndromes	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized idiopathic epilepsy and epileptic syndromes nos	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
idiopathic generalised epilepsy	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
idiopathic generalized epilepsy (disorder)	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
IGE	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
ige	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
primary generalised epilepsy	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
primary generalized epilepsy	CUI=C0270850	PREF=Idiopathic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
benign neonatal convulsion	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
benign neonatal convulsion	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
benign neonatal seizures	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
benign neonatal seizures [ambiguous]	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
benign neonatal seizures disorder	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
convulsions, benign neonatal	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
epilepsy, benign neonatal	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
neonatal convulsion, benign	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
neonatal convulsions, benign	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	
neonatal epilepsies, benign	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
neonatal epilepsy, benign	CUI=C0270851	PREF=Benign neonatal epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
adolescent myoclonic epilepsies	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
adolescent myoclonic epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, adolescent myoclonic	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, adolescent myoclonic	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, juvenile myoclonic	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, myoclonic, juvenile	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
impulsive petit mal epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
impulsive petit mal of janz	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
impulsive petit mal, janz	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
impulsive petit-mal epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
janz impulsive petit mal	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
janz juvenile myoclonic epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
JME	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
JME - juvenile myoclonic epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile epilepsies, myoclonic	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
